GKÇ FİDER ID;GKÇ TRAFO MERKEZİ ADI;FİDER ADI;İLİ;BÖLGE MÜDÜRLÜĞÜ;GERİLİM;ÖLÇÜM MODU;AÇIKLAMA;EŞLİ;AKTİF;GÜNCELLEYEN KULLANICI;GÜNCELLENME ZAMANI
270;BALGAT;33 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;33;PMU;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
435;KARAMAN;154 kV GEZENDE HES;KARAMAN;9. Bölge Müdürlüğü;154;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;26.09.2022 00:44
394;KARATAY;400 kV KARAPINAR MEKE GÖLÜ;KONYA;9. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
395;KARATAY;400 kV MERSİN 380;KONYA;9. Bölge Müdürlüğü;380;PMU;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;09.09.2024 00:44
30;SİNCAN;154 kV BANK B;ANKARA;8. Bölge Müdürlüğü;154;PMU;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
29;SİNCAN;400 kV OSMANCA;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
366;SİNCAN;400 kV ÜRGÜP GÜNEY;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;false;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
365;SİNCAN;400 kV ÜRGÜP KUZEY;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
375;TEMELLİ;400 kV ADA 1 DGKÇS;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
376;TEMELLİ;400 kV SİNCAN;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
286;TEMELLİ;400 kV YEŞİLHİSAR KUZEY;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
285;TEMELLİ;400 kV YUNUS EMRE TES;ANKARA;8. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
704;YEŞİLHİSAR;400 kV KARAPINAR MEKE GÖLÜ;KAYSERI;11. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
705;YEŞİLHİSAR;400 kV TEMELLİ HAT2;KAYSERI;11. Bölge Müdürlüğü;380;PMU;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;19.06.2023 00:44
2653;AĞAÇÖREN SKM;400 kV KAPASİTÖR BANK GÜNEY (YEŞİLHİSAR - TEMELLİ - II);AKSARAY;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
2652;AĞAÇÖREN SKM;400 kV KAPASİTÖR BANK KUZEY (YEŞİLHİSAR - TEMELLİ - I );AKSARAY;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
2648;AĞAÇÖREN SKM;400 kV YEŞİLHİSAR - TEMELLİ -HAT 1 E.İ. HATTI SAPLAMA ;AKSARAY;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
2649;AĞAÇÖREN SKM;400 kV YEŞİLHİSAR - TEMELLİ -HAT 2 E.İ. HATTI SAPLAMA ;AKSARAY;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
391;AKKÖPRÜ GİS;154 kV HASKÖY GİS KABLO;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;16.12.2024 00:44
388;AKKÖPRÜ GİS;33 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;16.12.2024 00:44
